id;title;redirect_id;redirect_title;wikibase_item;pageviews;extracts;thumbnail;link;msg_erreur1;P31;P361;P279;P8225;P106;site_officiel;msg_erreur2;balise_mere
222376;Point d'exclamation;0;!;Q166764;8094;Un point d'exclamation, également autrefois appelé point d'admiration, est un signe de ponctuation qui se met à la fin d'une phrase exclamative, à la place du point.;null;https://fr.wikipedia.org/wiki/Point_d%27exclamation;Pas de message d'erreur Wikipedia;{Q10617810,Q7702742};{Q427676};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
4433171;!!;0;null;Q353153;36;‼ (« double point d'exclamation ») peut faire référence à :<p><p>la notation d'un très bon coup aux échecs <p><p>l'opérateur double factorielle en mathématiques <p><p>un clic rétroflexe, une famille de clics phonétiques en !Kung et en damin (en).Le double point d'exclamation est présent dans Unicode sous le code U+203C​. Il est souvent utilisé pour accentuer une exclamation.;null;https://fr.wikipedia.org/wiki/!!;Pas de message d'erreur Wikipedia;{Q4167410};{NULL};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
351979;!!!;0;null;Q371;138;!!! (qui se prononce tchik tchik tchik ou, à la convenance, toute autre syllabe répétée trois fois) est un groupe de rock indépendant américain, originaire de Sacramento, en Californie. Il est formé pendant l'été 1995 de la fusion d'une partie des groupes Black Liquorice et Popesmashers. Ce nom à but anticonformiste a l'inconvénient d'être, selon Spin Magazine, « le plus dur des noms de groupe pour Google ». Leur label a tenté de leur faire adopter chk chk chk pour améliorer leur présence sur internet. En effet, la recherche Google !!! ne renvoie aucun résultat.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Chkchkchk.jpg/120px-Chkchkchk.jpg;https://fr.wikipedia.org/wiki/!!!;Pas de message d'erreur Wikipedia;{Q215380};{NULL};{NULL};{NULL};{NULL};http://www.chkchkchk.net/;Pas de message d'erreur Wikidata ;
11632234;!!! (album);0;null;Q2705922;17;!!! est le premier album studio du groupe dance-punk !!!. Il est sorti en 2001 sur le label Gold Standard Laboratories.;null;https://fr.wikipedia.org/wiki/!!!_(album);Pas de message d'erreur Wikipedia;{Q482994};{NULL};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
228609;Point exclarrogatif;0;!?;Q427676;1995;Le point exclarrogatif ‽ (interrobang en anglais) est un signe de ponctuation qui combine les fonctions de point d'interrogation et de point d'exclamation. Le caractère typographique est la superposition de ces deux signes de ponctuation.;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Interrobang.svg/62px-Interrobang.svg.png;https://fr.wikipedia.org/wiki/Point_exclarrogatif;Pas de message d'erreur Wikipedia;{Q3241972,Q7702742};{NULL};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
3029354;Studio !K7;0;!K7;Q315760;47;Studio !K7 est un label allemand de musique électronique fondé à Berlin en 1985. Il est connu pour la publication des compilations de la série DJ-Kicks.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/K7recordslogo.png/120px-K7recordslogo.png;https://fr.wikipedia.org/wiki/Studio_!K7;Pas de message d'erreur Wikipedia;{Q18127};{NULL};{NULL};{NULL};{NULL};http://www.k7.com;Pas de message d'erreur Wikidata ;
997109;ǁKaras;0;!Karas;Q573467;55;ǁKaras est l’une des quatorze régions administratives de Namibie.<p>Appelée Karas à l'origine, elle a été renommée en août 2013.<p>Le nom de la région provient des monts Karas situés au sud de la région.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Namibia_14_regions-numbered-%21karas.svg/120px-Namibia_14_regions-numbered-%21karas.svg.png;https://fr.wikipedia.org/wiki/%C7%81Karas;Pas de message d'erreur Wikipedia;{Q608843};{NULL};{NULL};{NULL};{NULL};https://karasrc.gov.na/;Pas de message d'erreur Wikidata ;
7376451;!Kung;0;null;Q847913;183;Les ǃKung sont des San vivant dans le désert du Kalahari en Namibie, au Botswana et en Angola.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/San_Schmuck.JPG/120px-San_Schmuck.JPG;https://fr.wikipedia.org/wiki/!Kung;Pas de message d'erreur Wikipedia;{Q41710};{NULL};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
11456293;!Mediengruppe Bitnik;0;null;Q48775282;59;!Mediengruppe Bitnik est un collectif artistique suisse, formé par Carmen Weisskopf (1976) et Domagoj Smoljo (1979), accompagnés des complices Adnan Hadzi et Daniel Ryser. Leur œuvre est influencée par des courants de l'art contemporain comme Fluxus, l'art conceptuel, la première génération du net.art, et peut être considéré comme faisant partie de l'art post-internet.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Mediengruppe_Bitnik_at_The_Influencers_2015.jpg/120px-Mediengruppe_Bitnik_at_The_Influencers_2015.jpg;https://fr.wikipedia.org/wiki/!Mediengruppe_Bitnik;Pas de message d'erreur Wikipedia;{Q1400264};{NULL};{NULL};{NULL};{NULL};null;Pas de message d'erreur Wikidata ;
13202059;Phoenix Games;0;!Que_Pasa_Neng!_El_Videjuego;Q64495248;59;Phoenix Games est un éditeur de jeux vidéo néerlandais principalement connu pour ses nombreuses productions à petit budget et à l'aspect de ses jaquettes.<p>Les titres de leurs jeux singent des productions connues comme par exemple les dessins animés de Walt Disney sortis à la même époque (Legend of Mulan, Atlantis: The Lost Continent) ou se font passer pour des suites (Air Raid 3, Vegas Casino 2).;null;https://fr.wikipedia.org/wiki/Phoenix_Games;Pas de message d'erreur Wikipedia;{Q1137109};{NULL};{NULL};{NULL};{NULL};https://web.archive.org/web/20081111205257/http://www.phoenixgamesgroup.com/;Pas de message d'erreur Wikidata ;
